number,sex,age,race,emotion,extra,sex_label,age_adult,age_child,age_senior,age_teen,race_asian,race_black,race_hispanic,race_other,race_white,emotion_funny,emotion_serious,emotion_smiling
1251,male,child,white,serious,,1,0,1,0,0,0,0,0,0,1,0,1,0
1252,female,child,white,smiling,,0,0,1,0,0,0,0,0,0,1,0,0,1
1253,male,child,white,serious,,1,0,1,0,0,0,0,0,0,1,0,1,0
1254,male,child,white,serious,,1,0,1,0,0,0,0,0,0,1,0,1,0
1255,male,child,white,serious,,1,0,1,0,0,0,0,0,0,1,0,1,0
1256,female,child,white,serious,,0,0,1,0,0,0,0,0,0,1,0,1,0
1257,female,child,white,serious,,0,0,1,0,0,0,0,0,0,1,0,1,0
1258,male,child,white,smiling,,1,0,1,0,0,0,0,0,0,1,0,0,1
1259,male,child,white,smiling,,1,0,1,0,0,0,0,0,0,1,0,0,1
1260,male,child,white,smiling,,1,0,1,0,0,0,0,0,0,1,0,0,1
1261,male,child,white,smiling,,1,0,1,0,0,0,0,0,0,1,0,0,1
1262,female,child,white,smiling,,0,0,1,0,0,0,0,0,0,1,0,0,1
1263,male,child,white,smiling,,1,0,1,0,0,0,0,0,0,1,0,0,1
1264,male,child,white,smiling,,1,0,1,0,0,0,0,0,0,1,0,0,1
1265,male,child,white,smiling,,1,0,1,0,0,0,0,0,0,1,0,0,1
1266,male,child,white,smiling,,1,0,1,0,0,0,0,0,0,1,0,0,1
1267,male,child,white,serious,,1,0,1,0,0,0,0,0,0,1,0,1,0
1268,male,child,white,smiling,,1,0,1,0,0,0,0,0,0,1,0,0,1
1269,male,teen,white,serious,,1,0,0,0,1,0,0,0,0,1,0,1,0
1270,male,teen,white,serious,,1,0,0,0,1,0,0,0,0,1,0,1,0
1271,male,child,white,smiling,,1,0,1,0,0,0,0,0,0,1,0,0,1
1272,male,child,white,smiling,,1,0,1,0,0,0,0,0,0,1,0,0,1
1273,male,child,white,serious,,1,0,1,0,0,0,0,0,0,1,0,1,0
1274,male,child,white,serious,,1,0,1,0,0,0,0,0,0,1,0,1,0
1275,male,child,white,smiling,,1,0,1,0,0,0,0,0,0,1,0,0,1
1276,male,child,white,funny,,1,0,1,0,0,0,0,0,0,1,1,0,0
1277,male,child,white,smiling,,1,0,1,0,0,0,0,0,0,1,0,0,1
1278,male,child,white,smiling,,1,0,1,0,0,0,0,0,0,1,0,0,1
1279,male,child,white,serious,,1,0,1,0,0,0,0,0,0,1,0,1,0
1280,male,child,white,serious,,1,0,1,0,0,0,0,0,0,1,0,1,0
1281,male,child,white,smiling,,1,0,1,0,0,0,0,0,0,1,0,0,1
1282,male,child,white,smiling,,1,0,1,0,0,0,0,0,0,1,0,0,1
1283,female,adult,white,smiling,,0,1,0,0,0,0,0,0,0,1,0,0,1
1284,male,child,white,smiling,,1,0,1,0,0,0,0,0,0,1,0,0,1
1285,female,teen,white,smiling,,0,0,0,0,1,0,0,0,0,1,0,0,1
1286,female,adult,white,smiling,,0,1,0,0,0,0,0,0,0,1,0,0,1
1287,male,child,white,smiling,,1,0,1,0,0,0,0,0,0,1,0,0,1
1288,male,child,white,smiling,,1,0,1,0,0,0,0,0,0,1,0,0,1
1289,male,child,white,smiling,,1,0,1,0,0,0,0,0,0,1,0,0,1
1290,male,child,white,smiling,glasses,1,0,1,0,0,0,0,0,0,1,0,0,1
1291,male,child,white,smiling,glasses,1,0,1,0,0,0,0,0,0,1,0,0,1
1292,male,child,white,serious,glasses,1,0,1,0,0,0,0,0,0,1,0,1,0
1293,male,child,white,smiling,,1,0,1,0,0,0,0,0,0,1,0,0,1
1294,male,child,white,smiling,,1,0,1,0,0,0,0,0,0,1,0,0,1
1295,male,child,white,smiling,,1,0,1,0,0,0,0,0,0,1,0,0,1
1296,male,child,white,serious,,1,0,1,0,0,0,0,0,0,1,0,1,0
1297,female,child,white,serious,,0,0,1,0,0,0,0,0,0,1,0,1,0
1298,female,teen,hispanic,smiling,,0,0,0,0,1,0,0,1,0,0,0,0,1
1299,male,child,white,smiling,,1,0,1,0,0,0,0,0,0,1,0,0,1
1300,male,child,white,serious,,1,0,1,0,0,0,0,0,0,1,0,1,0
1301,male,child,white,smiling,,1,0,1,0,0,0,0,0,0,1,0,0,1
1302,male,child,white,smiling,,1,0,1,0,0,0,0,0,0,1,0,0,1
1303,female,child,white,serious,,0,0,1,0,0,0,0,0,0,1,0,1,0
1304,male,teen,white,serious,,1,0,0,0,1,0,0,0,0,1,0,1,0
1305,male,teen,white,serious,,1,0,0,0,1,0,0,0,0,1,0,1,0
1306,male,child,white,serious,,1,0,1,0,0,0,0,0,0,1,0,1,0
1307,male,child,white,serious,,1,0,1,0,0,0,0,0,0,1,0,1,0
1308,male,teen,white,serious,,1,0,0,0,1,0,0,0,0,1,0,1,0
1309,female,teen,white,smiling,,0,0,0,0,1,0,0,0,0,1,0,0,1
1310,male,child,white,serious,,1,0,1,0,0,0,0,0,0,1,0,1,0
1311,male,child,white,serious,,1,0,1,0,0,0,0,0,0,1,0,1,0
1312,male,teen,white,smiling,,1,0,0,0,1,0,0,0,0,1,0,0,1
1313,male,child,white,smiling,,1,0,1,0,0,0,0,0,0,1,0,0,1
1314,male,child,white,serious,,1,0,1,0,0,0,0,0,0,1,0,1,0
1315,male,child,white,serious,,1,0,1,0,0,0,0,0,0,1,0,1,0
1316,male,child,white,serious,,1,0,1,0,0,0,0,0,0,1,0,1,0
1317,male,teen,white,serious,,1,0,0,0,1,0,0,0,0,1,0,1,0
1318,male,child,white,serious,,1,0,1,0,0,0,0,0,0,1,0,1,0
1319,male,child,white,serious,,1,0,1,0,0,0,0,0,0,1,0,1,0
1320,male,child,white,serious,,1,0,1,0,0,0,0,0,0,1,0,1,0
1321,male,child,white,smiling,,1,0,1,0,0,0,0,0,0,1,0,0,1
1322,female,teen,white,serious,glasses+moustache,0,0,0,0,1,0,0,0,0,1,0,1,0
1323,male,child,white,smiling,,1,0,1,0,0,0,0,0,0,1,0,0,1
1324,male,child,white,serious,,1,0,1,0,0,0,0,0,0,1,0,1,0
1325,male,child,white,smiling,,1,0,1,0,0,0,0,0,0,1,0,0,1
1326,male,child,white,serious,,1,0,1,0,0,0,0,0,0,1,0,1,0
1327,male,child,white,serious,,1,0,1,0,0,0,0,0,0,1,0,1,0
1328,male,child,white,smiling,,1,0,1,0,0,0,0,0,0,1,0,0,1
1329,male,child,white,serious,,1,0,1,0,0,0,0,0,0,1,0,1,0
1330,male,child,white,serious,,1,0,1,0,0,0,0,0,0,1,0,1,0
1331,male,child,white,serious,,1,0,1,0,0,0,0,0,0,1,0,1,0
1332,male,child,white,serious,,1,0,1,0,0,0,0,0,0,1,0,1,0
1333,male,child,white,smiling,,1,0,1,0,0,0,0,0,0,1,0,0,1
1334,male,child,asian,smiling,,1,0,1,0,0,1,0,0,0,0,0,0,1
1335,female,adult,white,serious,,0,1,0,0,0,0,0,0,0,1,0,1,0
1336,male,child,white,serious,,1,0,1,0,0,0,0,0,0,1,0,1,0
1337,male,child,white,smiling,,1,0,1,0,0,0,0,0,0,1,0,0,1
1338,male,child,white,serious,,1,0,1,0,0,0,0,0,0,1,0,1,0
1339,male,child,white,serious,,1,0,1,0,0,0,0,0,0,1,0,1,0
1340,male,child,white,serious,,1,0,1,0,0,0,0,0,0,1,0,1,0
1341,male,child,white,serious,,1,0,1,0,0,0,0,0,0,1,0,1,0
1342,male,child,white,smiling,,1,0,1,0,0,0,0,0,0,1,0,0,1
1343,female,child,white,smiling,,0,0,1,0,0,0,0,0,0,1,0,0,1
1344,male,child,white,smiling,,1,0,1,0,0,0,0,0,0,1,0,0,1
1345,female,child,white,smiling,,0,0,1,0,0,0,0,0,0,1,0,0,1
1346,male,child,white,smiling,,1,0,1,0,0,0,0,0,0,1,0,0,1
1347,male,child,white,smiling,,1,0,1,0,0,0,0,0,0,1,0,0,1
1348,male,child,white,funny,,1,0,1,0,0,0,0,0,0,1,1,0,0
1349,male,child,white,smiling,,1,0,1,0,0,0,0,0,0,1,0,0,1
1350,male,child,white,smiling,,1,0,1,0,0,0,0,0,0,1,0,0,1
1351,male,child,white,serious,,1,0,1,0,0,0,0,0,0,1,0,1,0
1352,female,child,white,serious,hat+bandana,0,0,1,0,0,0,0,0,0,1,0,1,0
1353,female,child,white,serious,hat,0,0,1,0,0,0,0,0,0,1,0,1,0
1354,female,child,white,smiling,hat,0,0,1,0,0,0,0,0,0,1,0,0,1
1355,female,teen,white,smiling,,0,0,0,0,1,0,0,0,0,1,0,0,1
1356,male,child,white,serious,,1,0,1,0,0,0,0,0,0,1,0,1,0
1357,male,child,white,serious,,1,0,1,0,0,0,0,0,0,1,0,1,0
1358,male,child,white,smiling,,1,0,1,0,0,0,0,0,0,1,0,0,1
1359,male,child,white,smiling,,1,0,1,0,0,0,0,0,0,1,0,0,1
1360,male,child,black,smiling,glasses,1,0,1,0,0,0,1,0,0,0,0,0,1
1361,male,child,black,serious,hat,1,0,1,0,0,0,1,0,0,0,0,1,0
1362,male,child,black,serious,,1,0,1,0,0,0,1,0,0,0,0,1,0
1363,female,child,white,smiling,,0,0,1,0,0,0,0,0,0,1,0,0,1
1364,female,child,white,serious,hat,0,0,1,0,0,0,0,0,0,1,0,1,0
1365,male,child,white,smiling,,1,0,1,0,0,0,0,0,0,1,0,0,1
1366,female,teen,white,smiling,,0,0,0,0,1,0,0,0,0,1,0,0,1
1367,male,child,white,serious,,1,0,1,0,0,0,0,0,0,1,0,1,0
1368,female,child,white,serious,,0,0,1,0,0,0,0,0,0,1,0,1,0
1369,male,child,white,serious,,1,0,1,0,0,0,0,0,0,1,0,1,0
1370,male,child,white,serious,,1,0,1,0,0,0,0,0,0,1,0,1,0
1371,female,child,white,smiling,,0,0,1,0,0,0,0,0,0,1,0,0,1
1372,female,child,white,smiling,,0,0,1,0,0,0,0,0,0,1,0,0,1
1373,male,child,white,serious,,1,0,1,0,0,0,0,0,0,1,0,1,0
1374,female,adult,white,smiling,,0,1,0,0,0,0,0,0,0,1,0,0,1
1375,female,child,white,serious,,0,0,1,0,0,0,0,0,0,1,0,1,0
1376,female,child,white,serious,,0,0,1,0,0,0,0,0,0,1,0,1,0
1377,male,child,white,smiling,,1,0,1,0,0,0,0,0,0,1,0,0,1
1378,male,child,white,smiling,,1,0,1,0,0,0,0,0,0,1,0,0,1
1379,female,child,white,smiling,,0,0,1,0,0,0,0,0,0,1,0,0,1
1380,male,child,white,smiling,,1,0,1,0,0,0,0,0,0,1,0,0,1
1381,female,teen,white,smiling,,0,0,0,0,1,0,0,0,0,1,0,0,1
1382,female,teen,white,smiling,,0,0,0,0,1,0,0,0,0,1,0,0,1
1383,female,child,white,serious,,0,0,1,0,0,0,0,0,0,1,0,1,0
1384,female,child,white,smiling,,0,0,1,0,0,0,0,0,0,1,0,0,1
1385,female,child,white,serious,,0,0,1,0,0,0,0,0,0,1,0,1,0
1386,female,child,white,funny,,0,0,1,0,0,0,0,0,0,1,1,0,0
1387,female,child,white,smiling,,0,0,1,0,0,0,0,0,0,1,0,0,1
1388,female,child,white,serious,,0,0,1,0,0,0,0,0,0,1,0,1,0
1389,male,child,white,smiling,,1,0,1,0,0,0,0,0,0,1,0,0,1
1390,male,child,white,smiling,,1,0,1,0,0,0,0,0,0,1,0,0,1
1391,male,child,white,smiling,,1,0,1,0,0,0,0,0,0,1,0,0,1
1392,male,child,white,smiling,,1,0,1,0,0,0,0,0,0,1,0,0,1
1393,female,child,white,serious,,0,0,1,0,0,0,0,0,0,1,0,1,0
1394,male,child,white,serious,,1,0,1,0,0,0,0,0,0,1,0,1,0
1395,female,child,white,serious,,0,0,1,0,0,0,0,0,0,1,0,1,0
1396,female,child,white,serious,,0,0,1,0,0,0,0,0,0,1,0,1,0
1397,female,child,white,serious,,0,0,1,0,0,0,0,0,0,1,0,1,0
1398,male,child,white,serious,,1,0,1,0,0,0,0,0,0,1,0,1,0
1399,male,child,white,serious,,1,0,1,0,0,0,0,0,0,1,0,1,0
1400,female,child,white,serious,,0,0,1,0,0,0,0,0,0,1,0,1,0
1401,female,child,white,smiling,,0,0,1,0,0,0,0,0,0,1,0,0,1
1402,male,child,white,smiling,,1,0,1,0,0,0,0,0,0,1,0,0,1
1403,male,child,white,smiling,,1,0,1,0,0,0,0,0,0,1,0,0,1
1404,female,child,white,smiling,,0,0,1,0,0,0,0,0,0,1,0,0,1
1405,male,child,white,smiling,,1,0,1,0,0,0,0,0,0,1,0,0,1
1406,male,adult,white,smiling,,1,1,0,0,0,0,0,0,0,1,0,0,1
1407,female,child,white,smiling,,0,0,1,0,0,0,0,0,0,1,0,0,1
1408,male,child,white,smiling,,1,0,1,0,0,0,0,0,0,1,0,0,1
1409,male,child,white,smiling,,1,0,1,0,0,0,0,0,0,1,0,0,1
1410,female,child,white,smiling,,0,0,1,0,0,0,0,0,0,1,0,0,1
1411,female,child,white,smiling,,0,0,1,0,0,0,0,0,0,1,0,0,1
1412,female,child,white,smiling,,0,0,1,0,0,0,0,0,0,1,0,0,1
1413,female,child,white,smiling,,0,0,1,0,0,0,0,0,0,1,0,0,1
1414,male,child,white,smiling,,1,0,1,0,0,0,0,0,0,1,0,0,1
1415,female,child,white,smiling,,0,0,1,0,0,0,0,0,0,1,0,0,1
1416,male,child,white,smiling,,1,0,1,0,0,0,0,0,0,1,0,0,1
1417,male,child,white,smiling,,1,0,1,0,0,0,0,0,0,1,0,0,1
1418,female,child,white,smiling,,0,0,1,0,0,0,0,0,0,1,0,0,1
1419,male,child,white,smiling,,1,0,1,0,0,0,0,0,0,1,0,0,1
1420,female,child,white,smiling,,0,0,1,0,0,0,0,0,0,1,0,0,1
1421,male,child,white,smiling,,1,0,1,0,0,0,0,0,0,1,0,0,1
1422,female,child,white,smiling,,0,0,1,0,0,0,0,0,0,1,0,0,1
1423,female,child,white,smiling,,0,0,1,0,0,0,0,0,0,1,0,0,1
1424,female,child,white,funny,,0,0,1,0,0,0,0,0,0,1,1,0,0
1425,male,teen,hispanic,smiling,,1,0,0,0,1,0,0,1,0,0,0,0,1
1426,male,child,white,smiling,,1,0,1,0,0,0,0,0,0,1,0,0,1
1427,male,child,white,smiling,,1,0,1,0,0,0,0,0,0,1,0,0,1
1428,female,child,white,smiling,,0,0,1,0,0,0,0,0,0,1,0,0,1
1429,male,child,white,serious,,1,0,1,0,0,0,0,0,0,1,0,1,0
1430,male,child,white,smiling,,1,0,1,0,0,0,0,0,0,1,0,0,1
1431,female,child,white,serious,,0,0,1,0,0,0,0,0,0,1,0,1,0
1432,male,child,white,funny,,1,0,1,0,0,0,0,0,0,1,1,0,0
1433,female,teen,white,smiling,,0,0,0,0,1,0,0,0,0,1,0,0,1
1434,female,child,white,smiling,,0,0,1,0,0,0,0,0,0,1,0,0,1
1435,female,child,white,smiling,,0,0,1,0,0,0,0,0,0,1,0,0,1
1436,female,child,white,smiling,,0,0,1,0,0,0,0,0,0,1,0,0,1
1437,female,child,white,smiling,,0,0,1,0,0,0,0,0,0,1,0,0,1
1438,female,child,white,serious,,0,0,1,0,0,0,0,0,0,1,0,1,0
1439,female,child,white,serious,,0,0,1,0,0,0,0,0,0,1,0,1,0
1440,female,child,white,smiling,,0,0,1,0,0,0,0,0,0,1,0,0,1
1441,female,teen,white,smiling,glasses,0,0,0,0,1,0,0,0,0,1,0,0,1
1442,female,child,white,smiling,glasses,0,0,1,0,0,0,0,0,0,1,0,0,1
1443,female,child,white,serious,glasses,0,0,1,0,0,0,0,0,0,1,0,1,0
1444,female,child,white,smiling,glasses,0,0,1,0,0,0,0,0,0,1,0,0,1
1445,female,child,white,serious,glasses,0,0,1,0,0,0,0,0,0,1,0,1,0
1446,male,child,white,serious,,1,0,1,0,0,0,0,0,0,1,0,1,0
1447,female,child,white,serious,,0,0,1,0,0,0,0,0,0,1,0,1,0
1448,female,child,white,serious,,0,0,1,0,0,0,0,0,0,1,0,1,0
1449,female,child,white,smiling,,0,0,1,0,0,0,0,0,0,1,0,0,1
1450,female,teen,white,serious,,0,0,0,0,1,0,0,0,0,1,0,1,0
1451,male,child,white,serious,,1,0,1,0,0,0,0,0,0,1,0,1,0
1452,male,child,white,serious,,1,0,1,0,0,0,0,0,0,1,0,1,0
1453,male,child,white,funny,,1,0,1,0,0,0,0,0,0,1,1,0,0
1454,male,child,white,smiling,,1,0,1,0,0,0,0,0,0,1,0,0,1
1455,male,child,white,smiling,,1,0,1,0,0,0,0,0,0,1,0,0,1
1456,female,child,white,serious,,0,0,1,0,0,0,0,0,0,1,0,1,0
1457,female,child,white,smiling,,0,0,1,0,0,0,0,0,0,1,0,0,1
1458,female,teen,white,smiling,,0,0,0,0,1,0,0,0,0,1,0,0,1
1459,female,teen,white,smiling,,0,0,0,0,1,0,0,0,0,1,0,0,1
1460,female,teen,white,smiling,,0,0,0,0,1,0,0,0,0,1,0,0,1
1461,male,teen,white,serious,,1,0,0,0,1,0,0,0,0,1,0,1,0
1462,male,child,white,serious,,1,0,1,0,0,0,0,0,0,1,0,1,0
1463,female,child,white,smiling,,0,0,1,0,0,0,0,0,0,1,0,0,1
1464,female,child,white,smiling,,0,0,1,0,0,0,0,0,0,1,0,0,1
1465,male,child,white,serious,,1,0,1,0,0,0,0,0,0,1,0,1,0
1466,female,child,white,serious,,0,0,1,0,0,0,0,0,0,1,0,1,0
1467,female,child,white,smiling,,0,0,1,0,0,0,0,0,0,1,0,0,1
1468,male,child,white,smiling,,1,0,1,0,0,0,0,0,0,1,0,0,1
1469,male,child,white,serious,,1,0,1,0,0,0,0,0,0,1,0,1,0
1470,female,teen,white,smiling,,0,0,0,0,1,0,0,0,0,1,0,0,1
1471,female,teen,white,smiling,,0,0,0,0,1,0,0,0,0,1,0,0,1
1472,female,teen,white,smiling,,0,0,0,0,1,0,0,0,0,1,0,0,1
1473,female,teen,white,smiling,,0,0,0,0,1,0,0,0,0,1,0,0,1
1474,male,teen,white,serious,,1,0,0,0,1,0,0,0,0,1,0,1,0
1475,male,teen,white,smiling,,1,0,0,0,1,0,0,0,0,1,0,0,1
1476,female,teen,white,smiling,,0,0,0,0,1,0,0,0,0,1,0,0,1
1477,female,teen,white,serious,,0,0,0,0,1,0,0,0,0,1,0,1,0
1478,male,child,white,serious,,1,0,1,0,0,0,0,0,0,1,0,1,0
1479,female,adult,white,serious,,0,1,0,0,0,0,0,0,0,1,0,1,0
1480,male,adult,white,smiling,,1,1,0,0,0,0,0,0,0,1,0,0,1
1481,female,teen,white,serious,,0,0,0,0,1,0,0,0,0,1,0,1,0
1482,female,teen,white,smiling,,0,0,0,0,1,0,0,0,0,1,0,0,1
1483,female,teen,white,serious,,0,0,0,0,1,0,0,0,0,1,0,1,0
1484,male,teen,white,smiling,,1,0,0,0,1,0,0,0,0,1,0,0,1
1485,female,teen,white,smiling,,0,0,0,0,1,0,0,0,0,1,0,0,1
1486,female,teen,white,funny,,0,0,0,0,1,0,0,0,0,1,1,0,0
1487,female,teen,white,smiling,,0,0,0,0,1,0,0,0,0,1,0,0,1
1488,female,teen,white,smiling,,0,0,0,0,1,0,0,0,0,1,0,0,1
1489,female,teen,white,serious,,0,0,0,0,1,0,0,0,0,1,0,1,0
1490,female,child,white,smiling,,0,0,1,0,0,0,0,0,0,1,0,0,1
1491,male,teen,white,smiling,,1,0,0,0,1,0,0,0,0,1,0,0,1
1492,female,child,white,smiling,,0,0,1,0,0,0,0,0,0,1,0,0,1
1493,female,adult,white,smiling,,0,1,0,0,0,0,0,0,0,1,0,0,1
1494,male,child,white,smiling,,1,0,1,0,0,0,0,0,0,1,0,0,1
1495,female,teen,white,smiling,,0,0,0,0,1,0,0,0,0,1,0,0,1
1496,female,teen,white,smiling,,0,0,0,0,1,0,0,0,0,1,0,0,1
1497,male,teen,white,smiling,,1,0,0,0,1,0,0,0,0,1,0,0,1
1498,male,teen,white,smiling,,1,0,0,0,1,0,0,0,0,1,0,0,1
1499,female,adult,white,smiling,,0,1,0,0,0,0,0,0,0,1,0,0,1
1500,female,adult,white,smiling,,0,1,0,0,0,0,0,0,0,1,0,0,1
1501,male,child,white,serious,,1,0,1,0,0,0,0,0,0,1,0,1,0
1502,female,teen,white,smiling,,0,0,0,0,1,0,0,0,0,1,0,0,1
1503,male,teen,white,smiling,,1,0,0,0,1,0,0,0,0,1,0,0,1
1504,female,teen,white,smiling,,0,0,0,0,1,0,0,0,0,1,0,0,1
1505,male,teen,white,smiling,,1,0,0,0,1,0,0,0,0,1,0,0,1
1506,female,child,white,serious,,0,0,1,0,0,0,0,0,0,1,0,1,0
1507,female,teen,white,smiling,,0,0,0,0,1,0,0,0,0,1,0,0,1
1508,female,teen,white,smiling,,0,0,0,0,1,0,0,0,0,1,0,0,1
1509,male,teen,white,smiling,,1,0,0,0,1,0,0,0,0,1,0,0,1
1510,female,child,white,smiling,,0,0,1,0,0,0,0,0,0,1,0,0,1
1511,female,child,white,smiling,,0,0,1,0,0,0,0,0,0,1,0,0,1
1512,female,child,white,smiling,,0,0,1,0,0,0,0,0,0,1,0,0,1
1513,female,child,white,smiling,,0,0,1,0,0,0,0,0,0,1,0,0,1
1514,female,child,white,smiling,,0,0,1,0,0,0,0,0,0,1,0,0,1
1515,female,child,white,smiling,,0,0,1,0,0,0,0,0,0,1,0,0,1
1516,female,child,white,smiling,,0,0,1,0,0,0,0,0,0,1,0,0,1
1517,female,child,white,smiling,,0,0,1,0,0,0,0,0,0,1,0,0,1
1518,female,child,white,smiling,,0,0,1,0,0,0,0,0,0,1,0,0,1
1519,female,child,white,serious,hat,0,0,1,0,0,0,0,0,0,1,0,1,0
1520,male,child,white,smiling,,1,0,1,0,0,0,0,0,0,1,0,0,1
1521,female,child,white,smiling,,0,0,1,0,0,0,0,0,0,1,0,0,1
1522,male,child,white,smiling,,1,0,1,0,0,0,0,0,0,1,0,0,1
1523,male,child,white,serious,,1,0,1,0,0,0,0,0,0,1,0,1,0
1524,female,teen,white,serious,,0,0,0,0,1,0,0,0,0,1,0,1,0
1525,male,teen,white,smiling,,1,0,0,0,1,0,0,0,0,1,0,0,1
1526,female,teen,white,smiling,,0,0,0,0,1,0,0,0,0,1,0,0,1
1527,male,teen,white,smiling,,1,0,0,0,1,0,0,0,0,1,0,0,1
1528,female,teen,white,serious,,0,0,0,0,1,0,0,0,0,1,0,1,0
1529,female,teen,asian,smiling,,0,0,0,0,1,1,0,0,0,0,0,0,1
1530,male,teen,white,smiling,,1,0,0,0,1,0,0,0,0,1,0,0,1
1531,female,teen,white,smiling,,0,0,0,0,1,0,0,0,0,1,0,0,1
1532,female,teen,white,smiling,,0,0,0,0,1,0,0,0,0,1,0,0,1
1533,female,teen,white,smiling,,0,0,0,0,1,0,0,0,0,1,0,0,1
1534,female,teen,white,serious,,0,0,0,0,1,0,0,0,0,1,0,1,0
1535,female,teen,white,serious,,0,0,0,0,1,0,0,0,0,1,0,1,0
1536,female,teen,white,smiling,,0,0,0,0,1,0,0,0,0,1,0,0,1
1537,male,teen,white,smiling,,1,0,0,0,1,0,0,0,0,1,0,0,1
1538,female,adult,white,serious,,0,1,0,0,0,0,0,0,0,1,0,1,0
1539,female,teen,white,serious,,0,0,0,0,1,0,0,0,0,1,0,1,0
1540,male,teen,white,serious,,1,0,0,0,1,0,0,0,0,1,0,1,0
1541,female,teen,white,smiling,,0,0,0,0,1,0,0,0,0,1,0,0,1
1542,female,teen,white,smiling,,0,0,0,0,1,0,0,0,0,1,0,0,1
1543,female,teen,white,serious,,0,0,0,0,1,0,0,0,0,1,0,1,0
1544,female,teen,white,serious,,0,0,0,0,1,0,0,0,0,1,0,1,0
1545,female,child,white,smiling,,0,0,1,0,0,0,0,0,0,1,0,0,1
1546,female,teen,white,smiling,,0,0,0,0,1,0,0,0,0,1,0,0,1
1547,female,teen,white,serious,,0,0,0,0,1,0,0,0,0,1,0,1,0
1548,female,teen,white,serious,,0,0,0,0,1,0,0,0,0,1,0,1,0
1549,male,teen,white,smiling,,1,0,0,0,1,0,0,0,0,1,0,0,1
1550,male,teen,white,smiling,,1,0,0,0,1,0,0,0,0,1,0,0,1
1551,female,teen,black,smiling,,0,0,0,0,1,0,1,0,0,0,0,0,1
1552,female,teen,hispanic,smiling,,0,0,0,0,1,0,0,1,0,0,0,0,1
1553,male,teen,asian,serious,,1,0,0,0,1,1,0,0,0,0,0,1,0
1554,male,teen,white,smiling,,1,0,0,0,1,0,0,0,0,1,0,0,1
1555,male,teen,asian,serious,,1,0,0,0,1,1,0,0,0,0,0,1,0
1556,male,teen,asian,serious,,1,0,0,0,1,1,0,0,0,0,0,1,0
1557,female,teen,white,serious,,0,0,0,0,1,0,0,0,0,1,0,1,0
1558,female,teen,white,serious,,0,0,0,0,1,0,0,0,0,1,0,1,0
1559,female,child,white,smiling,,0,0,1,0,0,0,0,0,0,1,0,0,1
1560,male,teen,white,serious,,1,0,0,0,1,0,0,0,0,1,0,1,0
1561,male,teen,white,serious,,1,0,0,0,1,0,0,0,0,1,0,1,0
1562,female,adult,white,serious,,0,1,0,0,0,0,0,0,0,1,0,1,0
1563,male,child,white,serious,,1,0,1,0,0,0,0,0,0,1,0,1,0
1564,male,child,white,serious,,1,0,1,0,0,0,0,0,0,1,0,1,0
1565,male,child,white,serious,,1,0,1,0,0,0,0,0,0,1,0,1,0
1566,male,child,white,serious,,1,0,1,0,0,0,0,0,0,1,0,1,0
1567,male,teen,white,serious,,1,0,0,0,1,0,0,0,0,1,0,1,0
1568,male,teen,white,serious,,1,0,0,0,1,0,0,0,0,1,0,1,0
1569,female,adult,white,serious,,0,1,0,0,0,0,0,0,0,1,0,1,0
